DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
63,187,16.334920634920625,14.720634920634922,28.415258503484534%,7.2063492063492065,[42.5, 56.5],144.0125
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,31.990542244640608%|,19.610000000000003|,14.700000000000001|,['F1', 'F4']|,[201, 13, 2, 3, 4, 5, 169]|
DENIED|,59|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F2', 'F3']|,src=565|,dest=523|
DENIED|,60|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F4']|,src=435|,dest=517|
APPROVED|,61|,R61P1|,17.388888888888886%|,12.069999999999997|,10.200000000000001|,['F3', 'F5', 'F1', 'F2']|,[231, 21, 22, 23, 239]|
DENIED|,62|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F4']|,src=200|,dest=540|
DENIED|,63|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=358|,dest=256|
DENIED|,64|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=193|,dest=550|
DENIED|,65|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=340|,dest=510|
DENIED|,66|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2', 'F4', 'F3']|,src=205|,dest=360|
DENIED|,67|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=435|,dest=317|
APPROVED|,68|,R68P2|,36.25313404050145%|,20.729999999999993|,18.800000000000004|,['F1', 'F2']|,[362, 53, 22, 23, 7, 8, 9, 27, 255]|
DENIED|,69|,NONE|,NONE%|,0|,0|,['F5']|,src=428|,dest=576|
APPROVED|,70|,R70P1|,27.3625472887768%|,15.28|,14.499999999999998|,['F2', 'F1']|,[199, 13, 12, 11, 30, 69, 426]|
DENIED|,71|,NONE|,NONE%|,0|,0|,['F5']|,src=161|,dest=198|
DENIED|,72|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1']|,src=195|,dest=581|
APPROVED|,73|,R73P1|,20.059198542805103%|,10.99|,9.6|,['F1', 'F4', 'F5']|,[321, 43, 42, 41, 314]|
DENIED|,74|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4']|,src=492|,dest=539|
APPROVED|,75|,R75P1|,18.906323185011708%|,5.7|,7.4|,['F2']|,[280, 33, 12, 197]|
DENIED|,76|,NONE|,NONE%|,0|,0|,['F3']|,src=497|,dest=244|
DENIED|,77|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F5']|,src=356|,dest=545|
APPROVED|,78|,R78P1|,26.19735182849937%|,16.029999999999998|,14.400000000000002|,['F4', 'F3']|,[426, 69, 30, 11, 12, 34, 286]|
DENIED|,79|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F1']|,src=576|,dest=184|
DENIED|,80|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=186|,dest=472|
DENIED|,81|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F1', 'F2', 'F5']|,src=419|,dest=384|
APPROVED|,82|,R82P1|,41.14495254529768%|,26.53|,20.6|,['F3', 'F1', 'F2']|,[256, 27, 9, 10, 1, 2, 14, 38, 85, 490]|
APPROVED|,83|,R83P2|,33.26084860173577%|,17.159999999999997|,17.8|,['F1', 'F3']|,[333, 46, 18, 17, 16, 15, 40, 89, 504]|
DENIED|,84|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F3']|,src=157|,dest=382|
DENIED|,85|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=596|,dest=251|
DENIED|,86|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=298|,dest=319|
APPROVED|,87|,R87P2|,28.43368107302534%|,11.8|,12.1|,['F2', 'F1']|,[270, 30, 29, 67, 66, 414]|
APPROVED|,88|,R88P2|,32.210928961748635%|,16.879999999999995|,16.6|,['F1', 'F2', 'F3']|,[238, 22, 23, 7, 8, 26, 61, 394]|
DENIED|,89|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1', 'F4']|,src=335|,dest=355|
DENIED|,90|,NONE|,NONE%|,0|,0|,['F5']|,src=337|,dest=244|
DENIED|,91|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F3']|,src=283|,dest=423|
APPROVED|,92|,R92P1|,27.158259773013874%|,17.49|,14.9|,['F3', 'F1', 'F2']|,[561, 103, 47, 48, 49, 108, 582]|
APPROVED|,93|,R93P1|,38.57907425265188%|,17.349999999999998|,18.6|,['F2']|,[378, 57, 24, 7, 8, 9, 10, 30, 268]|
DENIED|,94|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F5']|,src=206|,dest=423|
DENIED|,95|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=473|,dest=255|
DENIED|,96|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=384|,dest=490|
DENIED|,97|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=174|,dest=329|
APPROVED|,98|,R98P1|,21.181238615664846%|,9.43|,9.7|,['F3', 'F1', 'F5', 'F4']|,[600, 113, 52, 53, 360]|
DENIED|,99|,NONE|,NONE%|,0|,0|,['F2']|,src=559|,dest=189|
DENIED|,100|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4', 'F3', 'F5']|,src=179|,dest=407|
DENIED|,101|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1', 'F5']|,src=584|,dest=404|
DENIED|,102|,NONE|,NONE%|,0|,0|,['F5']|,src=328|,dest=218|
DENIED|,103|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1', 'F2']|,src=182|,dest=494|
DENIED|,104|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=173|,dest=455|
DENIED|,105|,NONE|,NONE%|,0|,0|,['F2']|,src=499|,dest=589|
APPROVED|,106|,R106P1|,35.20202507232401%|,22.430000000000003|,18.4|,['F1']|,[364, 54, 22, 6, 5, 4, 17, 43, 320]|
DENIED|,107|,NONE|,NONE%|,0|,0|,['F4']|,src=169|,dest=466|
APPROVED|,108|,R108P1|,31.349936948297604%|,16.560000000000002|,14.4|,['F4']|,[322, 43, 17, 18, 19, 48, 340]|
APPROVED|,109|,R109P1|,19.761124121779858%|,6.9|,7.2|,['F1', 'F3', 'F2']|,[352, 51, 112, 596]|
DENIED|,110|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=423|,dest=176|
DENIED|,111|,NONE|,NONE%|,0|,0|,['F4', 'F1']|,src=176|,dest=338|
DENIED|,112|,NONE|,NONE%|,0|,0|,['F5']|,src=487|,dest=477|
DENIED|,113|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5', 'F1', 'F4']|,src=291|,dest=303|
DENIED|,114|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F3', 'F4']|,src=277|,dest=578|
DENIED|,115|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3']|,src=401|,dest=273|
DENIED|,116|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4']|,src=198|,dest=572|
DENIED|,117|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5', 'F1']|,src=401|,dest=512|
DENIED|,118|,NONE|,NONE%|,0|,0|,['F3', 'F2']|,src=388|,dest=500|
DENIED|,119|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F4', 'F1']|,src=256|,dest=334|
DENIED|,120|,NONE|,NONE%|,0|,0|,['F4', 'F3']|,src=544|,dest=172|
DENIED|,121|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=526|,dest=599|
DENIED|,122|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F1', 'F3']|,src=528|,dest=178|
DENIED|,123|,NONE|,NONE%|,0|,0|,['F2']|,src=411|,dest=519|
APPROVED|,124|,R124P6|,44.97344262295083%|,28.449999999999996|,26.800000000000004|,['F2']|,[530, 95, 43, 17, 4, 5, 6, 7, 8, 26, 27, 64, 406]|
DENIED|,125|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4', 'F2']|,src=470|,dest=458|
DENIED|,126|,NONE|,NONE%|,0|,0|,['F5']|,src=302|,dest=587|
DENIED|,127|,NONE|,NONE%|,0|,0|,['F5']|,src=211|,dest=344|
DENIED|,128|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1']|,src=573|,dest=386|
DENIED|,129|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F4', 'F1']|,src=428|,dest=501|
DENIED|,130|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F1', 'F2']|,src=570|,dest=542|
DENIED|,131|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F3']|,src=215|,dest=581|
DENIED|,132|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1', 'F2', 'F4']|,src=542|,dest=153|
DENIED|,133|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F3', 'F5', 'F4']|,src=556|,dest=499|
DENIED|,134|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5', 'F4', 'F1']|,src=525|,dest=233|
APPROVED|,135|,R135P6|,27.277595628415305%|,17.400000000000002|,16.099999999999998|,['F4']|,[584, 109, 108, 107, 106, 105, 104, 564]|
APPROVED|,136|,R136P2|,22.53114754098361%|,17.17|,16.0|,['F5', 'F1']|,[580, 108, 49, 20, 21, 52, 53, 359]|
APPROVED|,137|,R137P2|,24.412816691505217%|,12.73|,11.5|,['F5']|,[188, 10, 30, 11, 32, 275]|
DENIED|,138|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=344|,dest=304|
APPROVED|,139|,R139P3|,36.21626733921816%|,16.419999999999998|,13.5|,['F3', 'F1']|,[489, 85, 38, 39, 15, 3, 162]|
APPROVED|,140|,R140P1|,42.13805004314064%|,24.73|,21.7|,['F2', 'F1']|,[576, 107, 49, 20, 5, 4, 17, 44, 98, 539]|
APPROVED|,141|,R141P1|,16.040983606557372%|,10.899999999999999|,9.700000000000001|,['F4', 'F5']|,[364, 54, 22, 21, 234]|
DENIED|,142|,NONE|,NONE%|,0|,0|,['F4', 'F3']|,src=398|,dest=432|
DENIED|,143|,NONE|,NONE%|,0|,0|,['F3']|,src=155|,dest=577|
DENIED|,144|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F3', 'F4']|,src=475|,dest=418|
APPROVED|,145|,R145P1|,12.913348946135832%|,10.1|,7.5|,['F4', 'F1', 'F3', 'F2']|,[339, 48, 106, 572]|
APPROVED|,146|,R146P1|,27.159463487332342%|,12.92|,12.0|,['F3']|,[571, 106, 48, 47, 46, 333]|
DENIED|,147|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5']|,src=229|,dest=598|
DENIED|,148|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F5', 'F1']|,src=252|,dest=580|
DENIED|,149|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=320|,dest=303|
DENIED|,150|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=156|,dest=525|
DENIED|,151|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4']|,src=568|,dest=545|
DENIED|,152|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F1']|,src=277|,dest=341|
DENIED|,153|,NONE|,NONE%|,0|,0|,['F3', 'F4']|,src=590|,dest=294|
DENIED|,154|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F3', 'F1']|,src=217|,dest=257|
DENIED|,155|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5', 'F3', 'F4']|,src=427|,dest=230|
DENIED|,156|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5', 'F4']|,src=166|,dest=237|
APPROVED|,157|,R157P2|,27.81778058007567%|,17.11|,14.0|,['F1']|,[202, 13, 14, 38, 39, 87, 497]|
DENIED|,158|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4']|,src=218|,dest=554|
APPROVED|,159|,R159P1|,24.175774134790526%|,11.54|,9.5|,['F5', 'F2', 'F3', 'F4', 'F1']|,[211, 16, 15, 40, 310]|
DENIED|,160|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2', 'F1']|,src=290|,dest=362|
DENIED|,161|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=361|,dest=159|
DENIED|,162|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4', 'F2']|,src=506|,dest=598|
DENIED|,163|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F5', 'F2', 'F1']|,src=493|,dest=470|
DENIED|,164|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3', 'F4']|,src=412|,dest=333|
APPROVED|,165|,R165P1|,22.61102831594635%|,14.43|,12.9|,['F5']|,[153, 1, 11, 32, 74, 443]|
APPROVED|,166|,R166P2|,34.91176470588236%|,24.539999999999996|,19.3|,['F2']|,[297, 37, 14, 2, 1, 10, 29, 28, 262]|
APPROVED|,167|,R167P3|,36.05107187894073%|,16.670000000000005|,13.499999999999998|,['F1', 'F3']|,[510, 90, 91, 41, 16, 17, 218]|
DENIED|,168|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F3']|,src=396|,dest=596|
DENIED|,169|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5']|,src=402|,dest=487|
DENIED|,170|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=342|,dest=155|
APPROVED|,171|,R171P1|,39.99562841530055%|,14.68|,16.2|,['F1']|,[397, 62, 26, 8, 9, 10, 1, 152]|
DENIED|,172|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4', 'F5', 'F3']|,src=571|,dest=501|
DENIED|,173|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4', 'F5']|,src=261|,dest=600|
DENIED|,174|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5', 'F4', 'F2']|,src=499|,dest=467|
APPROVED|,175|,R175P1|,28.915052160953802%|,14.88|,12.7|,['F4', 'F2', 'F1']|,[525, 94, 42, 43, 44, 323]|
DENIED|,176|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4']|,src=209|,dest=291|
DENIED|,177|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F5', 'F1', 'F2']|,src=253|,dest=287|
DENIED|,178|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F1', 'F4', 'F5']|,src=443|,dest=354|
APPROVED|,179|,R179P6|,30.15380906460945%|,20.7|,20.099999999999998|,['F1', 'F3']|,[445, 74, 32, 33, 12, 13, 36, 37, 297]|
DENIED|,180|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F2']|,src=533|,dest=459|
DENIED|,181|,NONE|,NONE%|,0|,0|,['F5']|,src=460|,dest=501|
DENIED|,182|,NONE|,NONE%|,0|,0|,['F5']|,src=318|,dest=207|
DENIED|,183|,NONE|,NONE%|,0|,0|,['F5']|,src=241|,dest=278|
DENIED|,184|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3']|,src=583|,dest=327|
APPROVED|,185|,R185P1|,42.13805004314063%|,25.920000000000005|,21.6|,['F2']|,[540, 98, 44, 17, 4, 5, 20, 49, 107, 578]|
DENIED|,186|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F1']|,src=390|,dest=579|
DENIED|,187|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F1', 'F5']|,src=302|,dest=407|
DENIED|,188|,NONE|,NONE%|,0|,0|,['F3', 'F2']|,src=398|,dest=569|
DENIED|,189|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=543|,dest=362|
DENIED|,190|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3', 'F5']|,src=547|,dest=515|
DENIED|,191|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F5', 'F1']|,src=417|,dest=464|
DENIED|,192|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F3', 'F4', 'F1']|,src=519|,dest=252|
DENIED|,193|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5']|,src=250|,dest=367|
DENIED|,194|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=433|,dest=507|
DENIED|,195|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5', 'F1']|,src=209|,dest=240|
DENIED|,196|,NONE|,NONE%|,0|,0|,['F3']|,src=294|,dest=350|
DENIED|,197|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F4']|,src=407|,dest=198|
DENIED|,198|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3']|,src=430|,dest=542|
DENIED|,199|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=220|,dest=451|
DENIED|,200|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F1']|,src=505|,dest=173|
APPROVED|,201|,R201P1|,10.997658079625294%|,7.499999999999999|,7.8|,['F3', 'F2', 'F4', 'F1']|,[315, 42, 16, 211]|
APPROVED|,202|,R202P1|,21.749544626593806%|,11.520000000000001|,10.0|,['F1', 'F3']|,[302, 38, 37, 36, 291]|
APPROVED|,203|,R203P2|,34.62988650693569%|,18.54|,14.899999999999999|,['F2', 'F4']|,[342, 48, 47, 46, 45, 99, 544]|
DENIED|,204|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3']|,src=552|,dest=168|
APPROVED|,205|,R205P1|,18.92974238875878%|,8.93|,7.5|,['F2']|,[529, 95, 43, 319]|
DENIED|,206|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2']|,src=564|,dest=362|
DENIED|,207|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=434|,dest=181|
APPROVED|,208|,R208P1|,24.048269581056463%|,11.959999999999997|,9.899999999999999|,['F4', 'F2', 'F3', 'F5', 'F1']|,[531, 96, 43, 44, 324]|
DENIED|,209|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3']|,src=491|,dest=596|
DENIED|,210|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=230|,dest=163|
DENIED|,211|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F1', 'F3']|,src=390|,dest=238|
APPROVED|,212|,R212P1|,18.976580796252925%|,9.950000000000001|,7.3999999999999995|,['F2', 'F5']|,[349, 50, 110, 589]|
DENIED|,213|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=554|,dest=412|
DENIED|,214|,NONE|,NONE%|,0|,0|,['F5']|,src=248|,dest=588|
DENIED|,215|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=495|,dest=181|
DENIED|,216|,NONE|,NONE%|,0|,0|,['F1']|,src=229|,dest=279|
DENIED|,217|,NONE|,NONE%|,0|,0|,['F2']|,src=286|,dest=375|
DENIED|,218|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F3', 'F1']|,src=203|,dest=262|
DENIED|,219|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F1']|,src=304|,dest=282|
DENIED|,220|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4']|,src=335|,dest=273|
DENIED|,221|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=227|,dest=198|
DENIED|,222|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=279|,dest=305|
APPROVED|,223|,R223P2|,32.42404371584699%|,19.05|,16.3|,['F1', 'F3', 'F4']|,[440, 73, 32, 33, 34, 78, 79, 465]|
DENIED|,224|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F2']|,src=306|,dest=563|
DENIED|,225|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F2', 'F4']|,src=288|,dest=182|
