DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
67,183,16.843880597014927,15.477611940298507,28.447506355970926%,7.462686567164179,[42.42, 56.42],143.80535714285713
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,26.426860025220684%|,15.030000000000001|,14.299999999999999|,['F1', 'F4']|,[201, 13, 2, 3, 4, 5, 169]|
DENIED|,40|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=337|,dest=581|
APPROVED|,41|,R41P1|,40.31218816821098%|,20.700000000000003|,25.299999999999997|,['F2']|,[553, 101, 46, 18, 4, 3, 2, 1, 10, 30, 69, 425]|
DENIED|,42|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=531|,dest=197|
APPROVED|,43|,R43P1|,30.357503152585117%|,16.919999999999998|,14.700000000000001|,['F4', 'F1']|,[159, 3, 4, 17, 43, 95, 529]|
APPROVED|,44|,R44P1|,23.446994535519124%|,18.479999999999997|,16.9|,['F1', 'F5', 'F3']|,[171, 6, 5, 4, 3, 15, 39, 304]|
APPROVED|,45|,R45P3|,36.568696330991415%|,26.73|,23.8|,['F3']|,[476, 82, 36, 13, 14, 15, 16, 17, 44, 97, 537]|
DENIED|,46|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F3', 'F5']|,src=421|,dest=237|
DENIED|,47|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3']|,src=270|,dest=592|
APPROVED|,48|,R48P1|,41.73627940128297%|,21.8|,25.4|,['F3']|,[566, 104, 47, 19, 5, 6, 7, 8, 9, 28, 65, 409]|
DENIED|,49|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F5', 'F4']|,src=582|,dest=438|
DENIED|,50|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2']|,src=322|,dest=445|
DENIED|,51|,NONE|,NONE%|,0|,0|,['F2']|,src=187|,dest=524|
DENIED|,52|,NONE|,NONE%|,0|,0|,['F5']|,src=248|,dest=519|
DENIED|,53|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=282|,dest=582|
DENIED|,54|,NONE|,NONE%|,0|,0|,['F5']|,src=403|,dest=580|
DENIED|,55|,NONE|,NONE%|,0|,0|,['F2']|,src=187|,dest=211|
APPROVED|,56|,R56P1|,14.52550091074681%|,11.390000000000002|,10.0|,['F1']|,[289, 35, 13, 14, 204]|
DENIED|,57|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F3']|,src=396|,dest=383|
DENIED|,58|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5']|,src=264|,dest=363|
DENIED|,59|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F2', 'F3']|,src=565|,dest=523|
DENIED|,60|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F4']|,src=435|,dest=517|
DENIED|,61|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1', 'F2']|,src=231|,dest=239|
DENIED|,62|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F4']|,src=200|,dest=540|
DENIED|,63|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=358|,dest=256|
DENIED|,64|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=193|,dest=550|
DENIED|,65|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=340|,dest=510|
DENIED|,66|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2', 'F4', 'F3']|,src=205|,dest=360|
DENIED|,67|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=435|,dest=317|
APPROVED|,68|,R68P2|,44.13259402121505%|,20.279999999999998|,19.4|,['F1', 'F2']|,[362, 53, 22, 23, 7, 8, 9, 27, 255]|
DENIED|,69|,NONE|,NONE%|,0|,0|,['F5']|,src=428|,dest=576|
APPROVED|,70|,R70P1|,27.186002522068097%|,17.479999999999997|,14.799999999999999|,['F2', 'F1']|,[199, 13, 12, 11, 30, 69, 426]|
DENIED|,71|,NONE|,NONE%|,0|,0|,['F5']|,src=161|,dest=198|
DENIED|,72|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1']|,src=195|,dest=581|
DENIED|,73|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F5']|,src=321|,dest=314|
APPROVED|,74|,R74P3|,33.5444348576359%|,23.659999999999997|,21.900000000000002|,['F1', 'F3', 'F4']|,[492, 86, 87, 39, 15, 16, 17, 44, 98, 539]|
APPROVED|,75|,R75P1|,7.648711943793912%|,8.36|,7.9|,['F2']|,[280, 33, 12, 197]|
DENIED|,76|,NONE|,NONE%|,0|,0|,['F3']|,src=497|,dest=244|
DENIED|,77|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F5']|,src=356|,dest=545|
APPROVED|,78|,R78P1|,30.317150063051706%|,18.179999999999996|,14.5|,['F4', 'F3']|,[426, 69, 30, 11, 12, 34, 286]|
DENIED|,79|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F1']|,src=576|,dest=184|
DENIED|,80|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=186|,dest=472|
DENIED|,81|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F1', 'F2', 'F5']|,src=419|,dest=384|
APPROVED|,82|,R82P1|,38.19154443485764%|,19.970000000000006|,20.700000000000003|,['F3', 'F1', 'F2']|,[256, 27, 9, 10, 1, 2, 14, 38, 85, 490]|
APPROVED|,83|,R83P2|,34.72082931533269%|,17.41|,19.799999999999997|,['F1', 'F3']|,[333, 46, 18, 17, 16, 15, 40, 89, 504]|
DENIED|,84|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F3']|,src=157|,dest=382|
DENIED|,85|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=596|,dest=251|
DENIED|,86|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=298|,dest=319|
APPROVED|,87|,R87P1|,25.235469448584205%|,11.2|,11.8|,['F2', 'F1']|,[270, 30, 29, 28, 66, 414]|
APPROVED|,88|,R88P3|,37.55519125683061%|,17.36|,16.2|,['F1', 'F2', 'F3']|,[238, 22, 23, 24, 25, 26, 61, 394]|
APPROVED|,89|,R89P1|,24.19356872635561%|,17.87|,13.2|,['F3', 'F5', 'F1', 'F4']|,[335, 47, 19, 20, 21, 52, 355]|
DENIED|,90|,NONE|,NONE%|,0|,0|,['F5']|,src=337|,dest=244|
DENIED|,91|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F3']|,src=283|,dest=423|
APPROVED|,92|,R92P1|,32.62610340479193%|,17.620000000000005|,14.200000000000001|,['F3', 'F1', 'F2']|,[561, 103, 47, 48, 49, 108, 582]|
APPROVED|,93|,R93P1|,40.22034715525554%|,19.97|,18.0|,['F2']|,[378, 57, 24, 7, 8, 9, 10, 30, 268]|
DENIED|,94|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F5']|,src=206|,dest=423|
DENIED|,95|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F3']|,src=473|,dest=255|
DENIED|,96|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=384|,dest=490|
DENIED|,97|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=174|,dest=329|
DENIED|,98|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5', 'F4']|,src=600|,dest=360|
DENIED|,99|,NONE|,NONE%|,0|,0|,['F2']|,src=559|,dest=189|
DENIED|,100|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4', 'F3', 'F5']|,src=179|,dest=407|
DENIED|,101|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1', 'F5']|,src=584|,dest=404|
DENIED|,102|,NONE|,NONE%|,0|,0|,['F5']|,src=328|,dest=218|
DENIED|,103|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1', 'F2']|,src=182|,dest=494|
DENIED|,104|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=173|,dest=455|
DENIED|,105|,NONE|,NONE%|,0|,0|,['F2']|,src=499|,dest=589|
APPROVED|,106|,R106P1|,30.478784956605598%|,22.1|,19.6|,['F1']|,[364, 54, 22, 6, 5, 4, 17, 43, 320]|
DENIED|,107|,NONE|,NONE%|,0|,0|,['F4']|,src=169|,dest=466|
DENIED|,108|,NONE|,NONE%|,0|,0|,['F4']|,src=322|,dest=340|
APPROVED|,109|,R109P1|,11.550351288056206%|,8.280000000000001|,8.1|,['F1', 'F3', 'F2']|,[352, 51, 112, 596]|
DENIED|,110|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=423|,dest=176|
DENIED|,111|,NONE|,NONE%|,0|,0|,['F4', 'F1']|,src=176|,dest=338|
DENIED|,112|,NONE|,NONE%|,0|,0|,['F5']|,src=487|,dest=477|
DENIED|,113|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5', 'F1', 'F4']|,src=291|,dest=303|
DENIED|,114|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F3', 'F4']|,src=277|,dest=578|
DENIED|,115|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3']|,src=401|,dest=273|
DENIED|,116|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4']|,src=198|,dest=572|
DENIED|,117|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F5', 'F1']|,src=401|,dest=512|
DENIED|,118|,NONE|,NONE%|,0|,0|,['F3', 'F2']|,src=388|,dest=500|
DENIED|,119|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F4', 'F1']|,src=256|,dest=334|
APPROVED|,120|,R120P2|,31.31147540983607%|,19.94|,16.8|,['F4', 'F3']|,[544, 99, 45, 18, 19, 5, 6, 172]|
DENIED|,121|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=526|,dest=599|
DENIED|,122|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F1', 'F3']|,src=528|,dest=178|
DENIED|,123|,NONE|,NONE%|,0|,0|,['F2']|,src=411|,dest=519|
DENIED|,124|,NONE|,NONE%|,0|,0|,['F2']|,src=530|,dest=406|
DENIED|,125|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F4', 'F2']|,src=470|,dest=458|
DENIED|,126|,NONE|,NONE%|,0|,0|,['F5']|,src=302|,dest=587|
DENIED|,127|,NONE|,NONE%|,0|,0|,['F5']|,src=211|,dest=344|
DENIED|,128|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F1']|,src=573|,dest=386|
APPROVED|,129|,R129P12|,28.23224043715847%|,29.409999999999997|,23.700000000000003|,['F3', 'F2', 'F4', 'F1']|,[428, 70, 30, 11, 12, 13, 14, 38, 39, 88, 501]|
DENIED|,130|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3', 'F1', 'F2']|,src=570|,dest=542|
APPROVED|,131|,R131P1|,32.49180327868853%|,21.979999999999997|,16.6|,['F4', 'F1', 'F2', 'F3']|,[215, 17, 4, 5, 20, 49, 108, 581]|
DENIED|,132|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1', 'F2', 'F4']|,src=542|,dest=153|
DENIED|,133|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F3', 'F5', 'F4']|,src=556|,dest=499|
DENIED|,134|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5', 'F4', 'F1']|,src=525|,dest=233|
DENIED|,135|,NONE|,NONE%|,0|,0|,['F4']|,src=584|,dest=564|
DENIED|,136|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=580|,dest=359|
DENIED|,137|,NONE|,NONE%|,0|,0|,['F5']|,src=188|,dest=275|
DENIED|,138|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=344|,dest=304|
APPROVED|,139|,R139P3|,25.081336696090794%|,15.76|,14.6|,['F3', 'F1']|,[489, 85, 38, 39, 15, 3, 162]|
APPROVED|,140|,R140P14|,34.96031061259708%|,21.91|,21.099999999999998|,['F2', 'F1']|,[576, 107, 106, 48, 47, 46, 45, 99, 98, 539]|
APPROVED|,141|,R141P1|,18.60200364298725%|,9.95|,9.900000000000002|,['F4', 'F5']|,[364, 54, 22, 21, 234]|
DENIED|,142|,NONE|,NONE%|,0|,0|,['F4', 'F3']|,src=398|,dest=432|
DENIED|,143|,NONE|,NONE%|,0|,0|,['F3']|,src=155|,dest=577|
DENIED|,144|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F3', 'F4']|,src=475|,dest=418|
APPROVED|,145|,R145P1|,25.311475409836067%|,8.839999999999998|,7.2|,['F4', 'F1', 'F3', 'F2']|,[339, 48, 106, 572]|
APPROVED|,146|,R146P1|,32.402384500745164%|,12.52|,11.8|,['F3']|,[571, 106, 48, 47, 46, 333]|
APPROVED|,147|,R147P1|,17.278688524590162%|,13.82|,12.100000000000001|,['F2', 'F3', 'F5']|,[229, 20, 21, 51, 112, 598]|
DENIED|,148|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F5', 'F1']|,src=252|,dest=580|
DENIED|,149|,NONE|,NONE%|,0|,0|,['F2', 'F5']|,src=320|,dest=303|
DENIED|,150|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=156|,dest=525|
APPROVED|,151|,R151P2|,33.13224043715847%|,23.319999999999997|,16.9|,['F1', 'F2', 'F4']|,[568, 105, 48, 47, 46, 45, 99, 545]|
DENIED|,152|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F1']|,src=277|,dest=341|
DENIED|,153|,NONE|,NONE%|,0|,0|,['F3', 'F4']|,src=590|,dest=294|
DENIED|,154|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F3', 'F1']|,src=217|,dest=257|
DENIED|,155|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5', 'F3', 'F4']|,src=427|,dest=230|
APPROVED|,156|,R156P1|,23.511177347242924%|,13.779999999999998|,12.299999999999999|,['F3', 'F2', 'F5', 'F4']|,[166, 4, 5, 6, 22, 237]|
APPROVED|,157|,R157P2|,21.836696090794455%|,16.450000000000003|,14.700000000000001|,['F1']|,[202, 13, 14, 38, 39, 87, 497]|
DENIED|,158|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4']|,src=218|,dest=554|
APPROVED|,159|,R159P2|,13.496357012750456%|,15.4|,10.3|,['F5', 'F2', 'F3', 'F4', 'F1']|,[211, 16, 41, 40, 310]|
DENIED|,160|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2', 'F1']|,src=290|,dest=362|
DENIED|,161|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F4', 'F3']|,src=361|,dest=159|
DENIED|,162|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4', 'F2']|,src=506|,dest=598|
DENIED|,163|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F5', 'F2', 'F1']|,src=493|,dest=470|
DENIED|,164|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3', 'F4']|,src=412|,dest=333|
DENIED|,165|,NONE|,NONE%|,0|,0|,['F5']|,src=153|,dest=443|
DENIED|,166|,NONE|,NONE%|,0|,0|,['F2']|,src=297|,dest=262|
APPROVED|,167|,R167P3|,26.624842370744012%|,17.89|,14.3|,['F1', 'F3']|,[510, 90, 91, 41, 16, 17, 218]|
DENIED|,168|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F3']|,src=396|,dest=596|
DENIED|,169|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5']|,src=402|,dest=487|
DENIED|,170|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=342|,dest=155|
APPROVED|,171|,R171P3|,36.028415300546456%|,16.12|,16.700000000000003|,['F1']|,[397, 62, 63, 27, 9, 10, 1, 152]|
DENIED|,172|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4', 'F5', 'F3']|,src=571|,dest=501|
DENIED|,173|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4', 'F5']|,src=261|,dest=600|
DENIED|,174|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5', 'F4', 'F2']|,src=499|,dest=467|
APPROVED|,175|,R175P2|,22.129657228017884%|,16.259999999999998|,11.9|,['F4', 'F2', 'F1']|,[525, 94, 95, 43, 44, 323]|
DENIED|,176|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4']|,src=209|,dest=291|
DENIED|,177|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F5', 'F1', 'F2']|,src=253|,dest=287|
DENIED|,178|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F1', 'F4', 'F5']|,src=443|,dest=354|
APPROVED|,179|,R179P9|,32.258919961427196%|,19.04|,18.9|,['F1', 'F3']|,[445, 74, 75, 33, 34, 35, 36, 37, 297]|
DENIED|,180|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F2']|,src=533|,dest=459|
DENIED|,181|,NONE|,NONE%|,0|,0|,['F5']|,src=460|,dest=501|
DENIED|,182|,NONE|,NONE%|,0|,0|,['F5']|,src=318|,dest=207|
DENIED|,183|,NONE|,NONE%|,0|,0|,['F5']|,src=241|,dest=278|
DENIED|,184|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3']|,src=583|,dest=327|
APPROVED|,185|,R185P14|,34.96031061259706%|,22.930000000000003|,21.4|,['F2']|,[540, 98, 99, 45, 46, 47, 48, 106, 107, 578]|
DENIED|,186|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F1']|,src=390|,dest=579|
DENIED|,187|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3', 'F1', 'F5']|,src=302|,dest=407|
DENIED|,188|,NONE|,NONE%|,0|,0|,['F3', 'F2']|,src=398|,dest=569|
DENIED|,189|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=543|,dest=362|
DENIED|,190|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3', 'F5']|,src=547|,dest=515|
DENIED|,191|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F5', 'F1']|,src=417|,dest=464|
DENIED|,192|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F3', 'F4', 'F1']|,src=519|,dest=252|
DENIED|,193|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F5']|,src=250|,dest=367|
DENIED|,194|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=433|,dest=507|
DENIED|,195|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F5', 'F1']|,src=209|,dest=240|
DENIED|,196|,NONE|,NONE%|,0|,0|,['F3']|,src=294|,dest=350|
DENIED|,197|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F4']|,src=407|,dest=198|
DENIED|,198|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F3']|,src=430|,dest=542|
DENIED|,199|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=220|,dest=451|
DENIED|,200|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F1']|,src=505|,dest=173|
APPROVED|,201|,R201P1|,20.128805620608897%|,12.25|,7.8999999999999995|,['F3', 'F2', 'F4', 'F1']|,[315, 42, 16, 211]|
APPROVED|,202|,R202P1|,26.70947176684881%|,9.790000000000001|,9.5|,['F1', 'F3']|,[302, 38, 37, 36, 291]|
APPROVED|,203|,R203P2|,30.617276166456495%|,18.109999999999996|,14.5|,['F2', 'F4']|,[342, 48, 47, 46, 45, 99, 544]|
APPROVED|,204|,R204P1|,30.371374527112234%|,13.44|,14.4|,['F1', 'F4', 'F3']|,[552, 101, 46, 18, 4, 5, 168]|
APPROVED|,205|,R205P1|,16.749414519906324%|,8.5|,8.0|,['F2']|,[529, 95, 43, 319]|
DENIED|,206|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2']|,src=564|,dest=362|
DENIED|,207|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=434|,dest=181|
APPROVED|,208|,R208P1|,22.489071038251367%|,11.95|,9.7|,['F4', 'F2', 'F3', 'F5', 'F1']|,[531, 96, 43, 44, 324]|
DENIED|,209|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F3']|,src=491|,dest=596|
DENIED|,210|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=230|,dest=163|
DENIED|,211|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F1', 'F3']|,src=390|,dest=238|
APPROVED|,212|,R212P1|,16.557377049180328%|,9.82|,8.200000000000001|,['F2', 'F5']|,[349, 50, 110, 589]|
DENIED|,213|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=554|,dest=412|
DENIED|,214|,NONE|,NONE%|,0|,0|,['F5']|,src=248|,dest=588|
DENIED|,215|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=495|,dest=181|
APPROVED|,216|,R216P2|,26.151855047454706%|,22.340000000000003|,21.400000000000002|,['F1']|,[229, 20, 5, 4, 3, 2, 13, 12, 33, 279]|
DENIED|,217|,NONE|,NONE%|,0|,0|,['F2']|,src=286|,dest=375|
DENIED|,218|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F3', 'F1']|,src=203|,dest=262|
DENIED|,219|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F3', 'F1']|,src=304|,dest=282|
DENIED|,220|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F4']|,src=335|,dest=273|
DENIED|,221|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=227|,dest=198|
DENIED|,222|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=279|,dest=305|
