DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
94,156,17.457978723404253,14.965957446808508,20.941016666400532%,7.24468085106383,[42.333333333333336, 56.333333333333336],144.15714285714284
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,16.953800298062593%|,15.5|,12.900000000000002|,['F4', 'F5', 'F2']|,[476, 82, 36, 13, 12, 197]|
DENIED|,34|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F1']|,src=499|,dest=184|
DENIED|,35|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F1']|,src=470|,dest=595|
APPROVED|,36|,R36P2|,22.059899117276167%|,16.77|,15.000000000000002|,['F5', 'F4', 'F1', 'F3', 'F2']|,[296, 37, 14, 13, 12, 11, 194]|
APPROVED|,37|,R37P1|,34.33856022808268%|,27.56|,25.399999999999995|,['F2']|,[400, 63, 27, 9, 10, 1, 2, 3, 16, 41, 92, 518]|
DENIED|,38|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4']|,src=164|,dest=303|
DENIED|,39|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F4', 'F3']|,src=248|,dest=161|
DENIED|,40|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F2', 'F1', 'F4']|,src=432|,dest=210|
APPROVED|,41|,R41P1|,9.18032786885246%|,11.33|,7.7|,['F5', 'F3', 'F4', 'F2']|,[511, 91, 41, 312]|
DENIED|,42|,NONE|,NONE%|,0|,0|,['F5']|,src=187|,dest=333|
DENIED|,43|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1']|,src=533|,dest=263|
DENIED|,44|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1']|,src=502|,dest=580|
DENIED|,45|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=423|,dest=519|
DENIED|,46|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F2', 'F5', 'F1']|,src=504|,dest=183|
DENIED|,47|,NONE|,NONE%|,0|,0|,['F4', 'F3']|,src=588|,dest=255|
DENIED|,48|,NONE|,NONE%|,0|,0|,['F5', 'F4']|,src=268|,dest=215|
DENIED|,49|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F4', 'F5']|,src=230|,dest=315|
DENIED|,50|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=407|,dest=470|
APPROVED|,51|,R51P1|,14.499254843517138%|,16.18|,12.299999999999999|,['F2', 'F1']|,[303, 39, 38, 37, 83, 481]|
APPROVED|,52|,R52P1|,10.228597449908925%|,10.14|,9.9|,['F2']|,[561, 103, 102, 101, 552]|
APPROVED|,53|,R53P1|,25.18221941992434%|,16.19|,14.700000000000001|,['F4', 'F1', 'F2']|,[306, 39, 15, 16, 17, 43, 320]|
APPROVED|,54|,R54P1|,20.252276867030965%|,12.23|,10.2|,['F5', 'F4']|,[234, 21, 20, 49, 345]|
DENIED|,55|,NONE|,NONE%|,0|,0|,['F2', 'F4']|,src=290|,dest=263|
DENIED|,56|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F3']|,src=366|,dest=435|
DENIED|,57|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4', 'F2']|,src=268|,dest=522|
APPROVED|,58|,R58P2|,11.991803278688526%|,8.930000000000001|,9.8|,['F3']|,[345, 49, 48, 19, 226]|
DENIED|,59|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F1']|,src=404|,dest=205|
APPROVED|,60|,R60P6|,39.10852459016394%|,34.21999999999999|,28.5|,['F3']|,[531, 96, 43, 17, 4, 5, 6, 7, 8, 26, 62, 63, 399]|
DENIED|,61|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F4', 'F5']|,src=206|,dest=333|
DENIED|,62|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4']|,src=395|,dest=370|
DENIED|,63|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=168|,dest=447|
APPROVED|,64|,R64P1|,23.63500482160077%|,22.69|,19.7|,['F5']|,[485, 84, 37, 14, 15, 16, 42, 93, 520]|
APPROVED|,65|,R65P4|,39.585901639344264%|,30.180000000000003|,28.200000000000003|,['F3']|,[549, 100, 45, 18, 4, 5, 6, 7, 8, 26, 27, 64, 404]|
DENIED|,66|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F2', 'F5']|,src=270|,dest=351|
DENIED|,67|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=304|,dest=240|
DENIED|,68|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=410|,dest=217|
DENIED|,69|,NONE|,NONE%|,0|,0|,['F2']|,src=471|,dest=369|
DENIED|,70|,NONE|,NONE%|,0|,0|,['F1', 'F4']|,src=193|,dest=227|
DENIED|,71|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5']|,src=374|,dest=547|
APPROVED|,72|,R72P1|,37.487526728439065%|,29.610000000000003|,25.8|,['F2', 'F1']|,[578, 107, 49, 20, 5, 6, 7, 8, 9, 28, 65, 409]|
DENIED|,73|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F4', 'F1']|,src=189|,dest=479|
DENIED|,74|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=562|,dest=154|
APPROVED|,75|,R75P2|,22.42513661202186%|,18.72|,16.2|,['F2', 'F5', 'F1']|,[382, 58, 24, 23, 22, 21, 51, 351]|
DENIED|,76|,NONE|,NONE%|,0|,0|,['F2']|,src=349|,dest=423|
APPROVED|,77|,R77P1|,10.29976580796253%|,11.049999999999999|,7.699999999999999|,['F1', 'F3', 'F4', 'F2', 'F5']|,[293, 36, 37, 297]|
APPROVED|,78|,R78P2|,30.472034715525556%|,22.45|,19.5|,['F3', 'F1']|,[357, 52, 21, 20, 5, 4, 17, 43, 322]|
DENIED|,79|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F1']|,src=264|,dest=167|
DENIED|,80|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=491|,dest=175|
DENIED|,81|,NONE|,NONE%|,0|,0|,['F4', 'F1']|,src=173|,dest=259|
APPROVED|,82|,R82P2|,17.83606557377049%|,12.56|,12.100000000000001|,['F1', 'F2', 'F3', 'F4', 'F5']|,[219, 18, 19, 48, 49, 346]|
DENIED|,83|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F5', 'F4']|,src=164|,dest=288|
APPROVED|,84|,R84P3|,25.57204486626402%|,24.3|,20.499999999999996|,['F3', 'F4']|,[586, 109, 50, 20, 19, 18, 45, 44, 98, 542]|
APPROVED|,85|,R85P2|,23.081967213114755%|,17.24|,16.499999999999996|,['F1', 'F2', 'F5']|,[286, 34, 35, 13, 14, 38, 86, 494]|
APPROVED|,86|,R86P1|,21.63934426229508%|,14.069999999999999|,12.400000000000002|,['F2', 'F5']|,[501, 88, 39, 15, 3, 159]|
APPROVED|,87|,R87P2|,13.07451564828614%|,14.31|,12.0|,['F1', 'F4']|,[569, 105, 104, 47, 46, 333]|
DENIED|,88|,NONE|,NONE%|,0|,0|,['F4', 'F3']|,src=499|,dest=539|
DENIED|,89|,NONE|,NONE%|,0|,0|,['F2', 'F3', 'F5', 'F1', 'F4']|,src=593|,dest=298|
DENIED|,90|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F1']|,src=426|,dest=579|
APPROVED|,91|,R91P3|,23.020707506471098%|,27.22|,19.900000000000002|,['F4', 'F1', 'F5']|,[582, 108, 49, 48, 19, 18, 17, 43, 96, 533]|
APPROVED|,92|,R92P1|,28.09071038251366%|,20.75|,16.3|,['F3']|,[560, 103, 47, 19, 5, 6, 7, 177]|
APPROVED|,93|,R93P1|,12.449648711943794%|,9.489999999999998|,7.5|,['F2', 'F5', 'F3', 'F1']|,[272, 31, 71, 432]|
DENIED|,94|,NONE|,NONE%|,0|,0|,['F4', 'F2']|,src=492|,dest=380|
DENIED|,95|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F2']|,src=408|,dest=169|
APPROVED|,96|,R96P4|,23.552200172562554%|,21.9|,21.899999999999995|,['F2', 'F4', 'F3', 'F1', 'F5']|,[413, 66, 28, 29, 30, 11, 12, 33, 76, 454]|
APPROVED|,97|,R97P2|,20.70443587270974%|,20.28|,18.099999999999998|,['F3', 'F2']|,[550, 100, 45, 18, 19, 48, 49, 108, 581]|
DENIED|,98|,NONE|,NONE%|,0|,0|,['F5', 'F2']|,src=569|,dest=471|
DENIED|,99|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4']|,src=157|,dest=523|
DENIED|,100|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F5']|,src=401|,dest=492|
APPROVED|,101|,R101P1|,20.470856102003644%|,15.13|,9.799999999999999|,['F5', 'F1', 'F3', 'F4']|,[403, 64, 27, 9, 185]|
DENIED|,102|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3']|,src=350|,dest=308|
DENIED|,103|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F3', 'F4']|,src=593|,dest=465|
DENIED|,104|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F3', 'F5']|,src=417|,dest=166|
APPROVED|,105|,R105P3|,18.891803278688528%|,17.519999999999996|,17.2|,['F4', 'F3', 'F5', 'F1']|,[454, 76, 33, 34, 35, 36, 37, 296]|
APPROVED|,106|,R106P1|,10.725995316159251%|,9.72|,7.6|,['F3', 'F5']|,[277, 32, 31, 272]|
APPROVED|,107|,R107P5|,25.002588438308887%|,23.230000000000004|,21.0|,['F3', 'F4', 'F1']|,[438, 72, 31, 70, 30, 29, 28, 27, 63, 402]|
DENIED|,108|,NONE|,NONE%|,0|,0|,['F5']|,src=595|,dest=485|
DENIED|,109|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F4']|,src=470|,dest=542|
APPROVED|,110|,R110P1|,12.684053651266765%|,14.129999999999997|,12.0|,['F5']|,[501, 88, 89, 90, 91, 514]|
DENIED|,111|,NONE|,NONE%|,0|,0|,['F5', 'F2', 'F1', 'F3', 'F4']|,src=414|,dest=561|
APPROVED|,112|,R112P1|,22.207650273224044%|,17.32|,17.299999999999997|,['F3']|,[500, 88, 39, 15, 14, 13, 12, 197]|
APPROVED|,113|,R113P1|,14.199453551912567%|,11.98|,9.9|,['F4', 'F5', 'F2', 'F3', 'F1']|,[505, 89, 40, 41, 311]|
DENIED|,114|,NONE|,NONE%|,0|,0|,['F3', 'F5']|,src=262|,dest=468|
DENIED|,115|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F3', 'F2', 'F4']|,src=480|,dest=211|
APPROVED|,116|,R116P2|,24.52677595628416%|,19.73|,17.200000000000003|,['F2', 'F5', 'F3']|,[420, 68, 29, 30, 11, 12, 33, 280]|
DENIED|,117|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2']|,src=409|,dest=196|
DENIED|,118|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F3', 'F4']|,src=279|,dest=372|
DENIED|,119|,NONE|,NONE%|,0|,0|,['F5']|,src=190|,dest=287|
DENIED|,120|,NONE|,NONE%|,0|,0|,['F3', 'F1']|,src=583|,dest=273|
DENIED|,121|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4', 'F5']|,src=419|,dest=504|
DENIED|,122|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F4', 'F2', 'F3']|,src=244|,dest=278|
DENIED|,123|,NONE|,NONE%|,0|,0|,['F5']|,src=582|,dest=445|
DENIED|,124|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F5', 'F3', 'F4']|,src=428|,dest=318|
DENIED|,125|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F1', 'F4', 'F2']|,src=572|,dest=422|
APPROVED|,126|,R126P1|,5.70983606557377%|,10.190000000000001|,5.0|,['F3', 'F1', 'F2', 'F4', 'F5']|,[584, 109, 585]|
DENIED|,127|,NONE|,NONE%|,0|,0|,['F1', 'F2']|,src=290|,dest=373|
DENIED|,128|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F4', 'F5']|,src=444|,dest=533|
APPROVED|,129|,R129P1|,36.22495446265938%|,12.0|,10.0|,['F1']|,[181, 8, 7, 6, 173]|
APPROVED|,130|,R130P1|,13.6183970856102%|,10.350000000000001|,9.6|,['F2']|,[281, 33, 32, 31, 273]|
APPROVED|,131|,R131P1|,15.61698956780924%|,16.46|,12.500000000000002|,['F4', 'F3', 'F1', 'F2']|,[551, 101, 46, 47, 48, 341]|
DENIED|,132|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F1', 'F3']|,src=301|,dest=238|
APPROVED|,133|,R133P1|,17.186703096539162%|,12.27|,9.8|,['F3']|,[234, 21, 51, 111, 592]|
DENIED|,134|,NONE|,NONE%|,0|,0|,['F3']|,src=450|,dest=252|
DENIED|,135|,NONE|,NONE%|,0|,0|,['F5', 'F2']|,src=221|,dest=187|
DENIED|,136|,NONE|,NONE%|,0|,0|,['F5']|,src=421|,dest=180|
DENIED|,137|,NONE|,NONE%|,0|,0|,['F5', 'F1']|,src=456|,dest=339|
APPROVED|,138|,R138P3|,12.102774274905421%|,14.329999999999998|,14.700000000000001|,['F4', 'F3', 'F2', 'F5']|,[546, 99, 100, 101, 102, 103, 560]|
DENIED|,139|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2']|,src=284|,dest=257|
APPROVED|,140|,R140P1|,12.784153005464482%|,13.030000000000001|,9.4|,['F3', 'F2', 'F4', 'F5']|,[591, 111, 112, 113, 600]|
DENIED|,141|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F2']|,src=463|,dest=181|
DENIED|,142|,NONE|,NONE%|,0|,0|,['F1', 'F3', 'F4', 'F2', 'F5']|,src=598|,dest=504|
APPROVED|,143|,R143P2|,19.268256333830102%|,13.17|,12.200000000000003|,['F3', 'F4', 'F5', 'F1']|,[300, 38, 39, 15, 16, 214]|
DENIED|,144|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4']|,src=258|,dest=510|
DENIED|,145|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F1']|,src=377|,dest=164|
DENIED|,146|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1', 'F2']|,src=381|,dest=534|
DENIED|,147|,NONE|,NONE%|,0|,0|,['F3', 'F4']|,src=479|,dest=374|
DENIED|,148|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F4', 'F3']|,src=170|,dest=441|
DENIED|,149|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F3', 'F4']|,src=477|,dest=330|
DENIED|,150|,NONE|,NONE%|,0|,0|,['F4']|,src=225|,dest=451|
DENIED|,151|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F2', 'F1', 'F3']|,src=476|,dest=560|
DENIED|,152|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F4']|,src=527|,dest=248|
APPROVED|,153|,R153P1|,19.133039092055483%|,16.73|,14.4|,['F5', 'F3']|,[298, 37, 36, 35, 34, 77, 455]|
DENIED|,154|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F4']|,src=373|,dest=527|
DENIED|,155|,NONE|,NONE%|,0|,0|,['F3', 'F2', 'F4']|,src=564|,dest=200|
APPROVED|,156|,R156P10|,34.14459016393443%|,30.62|,28.5|,['F3']|,[554, 101, 46, 47, 19, 5, 6, 7, 8, 26, 62, 63, 400]|
DENIED|,157|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F3']|,src=202|,dest=589|
DENIED|,158|,NONE|,NONE%|,0|,0|,['F4']|,src=393|,dest=354|
DENIED|,159|,NONE|,NONE%|,0|,0|,['F5', 'F3', 'F2', 'F1']|,src=245|,dest=202|
DENIED|,160|,NONE|,NONE%|,0|,0|,['F1', 'F5']|,src=317|,dest=370|
DENIED|,161|,NONE|,NONE%|,0|,0|,['F5', 'F3']|,src=183|,dest=214|
DENIED|,162|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F1', 'F3', 'F4']|,src=573|,dest=514|
DENIED|,163|,NONE|,NONE%|,0|,0|,['F3']|,src=206|,dest=387|
DENIED|,164|,NONE|,NONE%|,0|,0|,['F1', 'F2', 'F3']|,src=312|,dest=409|
DENIED|,165|,NONE|,NONE%|,0|,0|,['F1', 'F3']|,src=412|,dest=214|
APPROVED|,166|,R166P1|,16.86429872495446%|,12.15|,9.8|,['F1']|,[474, 81, 36, 13, 200]|
DENIED|,167|,NONE|,NONE%|,0|,0|,['F4', 'F3', 'F2', 'F1']|,src=318|,dest=174|
APPROVED|,168|,R168P1|,16.39940387481371%|,14.890000000000002|,12.0|,['F5', 'F4', 'F2', 'F1', 'F3']|,[322, 43, 44, 45, 99, 546]|
APPROVED|,169|,R169P2|,22.44199243379571%|,13.95|,14.5|,['F2']|,[334, 46, 47, 19, 20, 21, 231]|
DENIED|,170|,NONE|,NONE%|,0|,0|,['F4', 'F5', 'F2', 'F1', 'F3']|,src=498|,dest=181|
APPROVED|,171|,R171P1|,33.68418514946963%|,20.27|,19.1|,['F2']|,[432, 71, 31, 11, 1, 2, 14, 37, 297]|
DENIED|,172|,NONE|,NONE%|,0|,0|,['F5']|,src=408|,dest=224|
APPROVED|,173|,R173P4|,31.885245901639344%|,26.09|,20.6|,['F4', 'F3']|,[330, 45, 18, 19, 5, 6, 7, 24, 25, 249]|
APPROVED|,174|,R174P5|,27.266571632216674%|,28.860000000000003|,25.700000000000003|,['F1', 'F2']|,[485, 84, 37, 14, 15, 16, 17, 18, 19, 48, 106, 573]|
DENIED|,175|,NONE|,NONE%|,0|,0|,['F4', 'F5']|,src=201|,dest=187|
APPROVED|,176|,R176P8|,23.613192818110853%|,29.23|,23.9|,['F2', 'F3', 'F5', 'F1', 'F4']|,[385, 59, 58, 24, 23, 22, 21, 20, 50, 110, 590]|
APPROVED|,177|,R177P1|,17.827868852459016%|,16.03|,9.299999999999999|,['F5', 'F1', 'F2', 'F3']|,[247, 25, 26, 27, 258]|
DENIED|,178|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F3']|,src=227|,dest=486|
DENIED|,179|,NONE|,NONE%|,0|,0|,['F3', 'F5', 'F1']|,src=333|,dest=414|
DENIED|,180|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F3', 'F1']|,src=318|,dest=167|
DENIED|,181|,NONE|,NONE%|,0|,0|,['F2', 'F4']|,src=310|,dest=184|
APPROVED|,182|,R182P2|,22.79886506935687%|,17.360000000000003|,14.6|,['F3', 'F1', 'F5']|,[258, 27, 28, 29, 30, 70, 429]|
APPROVED|,183|,R183P2|,35.135461604831754%|,24.44|,21.400000000000002|,['F2']|,[387, 60, 25, 24, 7, 6, 5, 4, 17, 215]|
APPROVED|,184|,R184P3|,23.5718789407314%|,17.610000000000003|,14.3|,['F3', 'F5', 'F2']|,[172, 6, 5, 19, 47, 46, 333]|
APPROVED|,185|,R185P1|,13.6183970856102%|,9.64|,10.0|,['F5', 'F1', 'F4']|,[282, 33, 32, 31, 271]|
APPROVED|,186|,R186P1|,31.120428751576295%|,16.35|,14.100000000000001|,['F3', 'F2', 'F4']|,[594, 111, 51, 21, 6, 7, 178]|
APPROVED|,187|,R187P1|,26.375602700096433%|,18.91|,18.7|,['F1', 'F4']|,[433, 71, 31, 11, 30, 29, 28, 65, 410]|
DENIED|,188|,NONE|,NONE%|,0|,0|,['F2', 'F5', 'F4', 'F3', 'F1']|,src=238|,dest=163|
APPROVED|,189|,R189P1|,17.69672131147541%|,15.060000000000002|,14.4|,['F3']|,[563, 104, 47, 46, 45, 99, 544]|
DENIED|,190|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F1', 'F3', 'F5']|,src=401|,dest=563|
DENIED|,191|,NONE|,NONE%|,0|,0|,['F2', 'F4', 'F5', 'F1', 'F3']|,src=590|,dest=466|
DENIED|,192|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F3']|,src=595|,dest=443|
DENIED|,193|,NONE|,NONE%|,0|,0|,['F1', 'F4', 'F2']|,src=481|,dest=577|
DENIED|,194|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4', 'F3', 'F2']|,src=565|,dest=437|
DENIED|,195|,NONE|,NONE%|,0|,0|,['F5', 'F4', 'F1', 'F2']|,src=337|,dest=484|
DENIED|,196|,NONE|,NONE%|,0|,0|,['F5']|,src=600|,dest=400|
APPROVED|,197|,R197P1|,16.312965722801785%|,16.4|,11.9|,['F1', 'F4', 'F5']|,[321, 43, 44, 45, 100, 550]|
DENIED|,198|,NONE|,NONE%|,0|,0|,['F2', 'F1', 'F3', 'F4', 'F5']|,src=549|,dest=403|
DENIED|,199|,NONE|,NONE%|,0|,0|,['F1', 'F5', 'F4']|,src=161|,dest=334|
APPROVED|,200|,R200P1|,13.966302367941713%|,10.94|,10.0|,['F4']|,[294, 36, 35, 80, 469]|
DENIED|,201|,NONE|,NONE%|,0|,0|,['F4', 'F1', 'F2', 'F5']|,src=184|,dest=203|
DENIED|,202|,NONE|,NONE%|,0|,0|,['F4']|,src=205|,dest=351|
APPROVED|,203|,R203P3|,18.091424968474147%|,19.270000000000003|,14.700000000000001|,['F5', 'F4', 'F2']|,[169, 5, 19, 47, 46, 101, 553]|
APPROVED|,204|,R204P1|,17.430601092896175%|,18.049999999999997|,17.099999999999998|,['F5', 'F1']|,[475, 82, 36, 37, 38, 39, 88, 501]|
DENIED|,205|,NONE|,NONE%|,0|,0|,['F3', 'F1', 'F5', 'F2', 'F4']|,src=189|,dest=181|
DENIED|,206|,NONE|,NONE%|,0|,0|,['F1', 'F4']|,src=209|,dest=419|
DENIED|,207|,NONE|,NONE%|,0|,0|,['F5', 'F1', 'F2', 'F4']|,src=500|,dest=541|
DENIED|,208|,NONE|,NONE%|,0|,0|,['F2']|,src=537|,dest=277|
DENIED|,209|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3']|,src=293|,dest=184|
APPROVED|,210|,R210P1|,10.219489981785065%|,11.870000000000001|,9.6|,['F1', 'F5', 'F3']|,[441, 73, 74, 75, 449]|
DENIED|,211|,NONE|,NONE%|,0|,0|,['F3', 'F4', 'F1']|,src=159|,dest=330|
DENIED|,212|,NONE|,NONE%|,0|,0|,['F5']|,src=593|,dest=417|
DENIED|,213|,NONE|,NONE%|,0|,0|,['F3', 'F4']|,src=551|,dest=261|
DENIED|,214|,NONE|,NONE%|,0|,0|,['F4', 'F2', 'F3']|,src=275|,dest=344|
